symbol,name,sector,industry
NVDA,Nvidia,Technology,Semiconductors
AAPL,Apple Inc.,Technology,Consumer Electronics
MSFT,Microsoft,Technology,Software - Infrastructure
AMZN,Amazon,Consumer Cyclical,Internet Retail
META,Meta Platforms,Communication Services,Internet Content & Information
AVGO,Broadcom,Technology,Semiconductors
GOOGL,Alphabet Inc. (Class A),Communication Services,Internet Content & Information
GOOG,Alphabet Inc. (Class C),Communication Services,Internet Content & Information
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers
BRK-B,Berkshire Hathaway,Financial Services,Insurance - Diversified
WMT,Walmart,Consumer Defensive,Discount Stores
JPM,JPMorgan Chase,Financial Services,Banks - Diversified
ORCL,Oracle Corporation,Technology,Software - Infrastructure
LLY,Lilly (Eli),Healthcare,Drug Manufacturers - General
V,Visa Inc.,Financial Services,Credit Services
MA,Mastercard,Financial Services,Credit Services
XOM,ExxonMobil,Energy,Oil & Gas Integrated
NFLX,Netflix,Communication Services,Entertainment
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
PLTR,Palantir Technologies,Technology,Software - Infrastructure
COST,Costco,Consumer Defensive,Discount Stores
AMD,Advanced Micro Devices,Technology,Semiconductors
ABBV,AbbVie,Healthcare,Drug Manufacturers - General
BAC,Bank of America,Financial Services,Banks - Diversified
HD,Home Depot (The),Consumer Cyclical,Home Improvement Retail
PG,Procter & Gamble,Consumer Defensive,Household & Personal Products
UNH,UnitedHealth Group,Healthcare,Healthcare Plans
GE,GE Aerospace,Industrials,Aerospace & Defense
CVX,Chevron Corporation,Energy,Oil & Gas Integrated
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic
IBM,IBM,Technology,Information Technology Services
CSCO,Cisco,Technology,Communication Equipment
WFC,Wells Fargo,Financial Services,Banks - Diversified
MS,Morgan Stanley,Financial Services,Capital Markets
AXP,American Express,Financial Services,Credit Services
MU,Micron Technology,Technology,Semiconductors
PM,Philip Morris International,Consumer Defensive,Tobacco
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery
TMUS,T-Mobile US,Communication Services,Telecom Services
CRM,Salesforce,Technology,Software - Application
GS,Goldman Sachs,Financial Services,Capital Markets
RTX,RTX Corporation,Industrials,Aerospace & Defense
ABT,Abbott Laboratories,Healthcare,Medical Devices
MRK,Merck & Co.,Healthcare,Drug Manufacturers - General
MCD,McDonald's,Consumer Cyclical,Restaurants
TMO,Thermo Fisher Scientific,Healthcare,Diagnostics & Research
APP,AppLovin Corporation,Communication Services,Advertising Agencies
LIN,Linde plc,Basic Materials,Specialty Chemicals
PEP,PepsiCo,Consumer Defensive,Beverages - Non-Alcoholic
DIS,Walt Disney Company (The),Communication Services,Entertainment
UBER,Uber,Technology,Software - Application
ISRG,Intuitive Surgical,Healthcare,Medical Instruments & Supplies
ANET,Arista Networks,Technology,Computer Hardware
NOW,ServiceNow,Technology,Software - Application
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials
INTU,Intuit,Technology,Software - Application
QCOM,Qualcomm,Technology,Semiconductors
AMAT,Applied Materials,Technology,Semiconductor Equipment & Materials
INTC,Intel,Technology,Semiconductors
T,AT&T,Communication Services,Telecom Services
C,Citigroup,Financial Services,Banks - Diversified
BLK,BlackRock,Financial Services,Asset Management
NEE,NextEra Energy,Utilities,Utilities - Regulated Electric
SCHW,Charles Schwab Corporation,Financial Services,Capital Markets
BA,Boeing,Industrials,Aerospace & Defense
BKNG,Booking Holdings,Consumer Cyclical,Travel Services
VZ,Verizon,Communication Services,Telecom Services
APH,Amphenol,Technology,Electronic Components
GEV,GE Vernova,Industrials,Specialty Industrial Machinery
TJX,TJX Companies,Consumer Cyclical,Apparel Retail
DHR,Danaher Corporation,Healthcare,Diagnostics & Research
AMGN,Amgen,Healthcare,Drug Manufacturers - General
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials
TXN,Texas Instruments,Technology,Semiconductors
ACN,Accenture,Technology,Information Technology Services
GILD,Gilead Sciences,Healthcare,Drug Manufacturers - General
BSX,Boston Scientific,Healthcare,Medical Devices
SPGI,S&P Global,Financial Services,Financial Data & Stock Exchanges
ADBE,Adobe Inc.,Technology,Software - Application
PANW,Palo Alto Networks,Technology,Software - Infrastructure
ETN,Eaton Corporation,Industrials,Specialty Industrial Machinery
SYK,Stryker Corporation,Healthcare,Medical Devices
COF,Capital One,Financial Services,Credit Services
PFE,Pfizer,Healthcare,Drug Manufacturers - General
HON,Honeywell,Industrials,Conglomerates
LOW,Lowe's,Consumer Cyclical,Home Improvement Retail
CRWD,CrowdStrike,Technology,Software - Infrastructure
UNP,Union Pacific Corporation,Industrials,Railroads
PGR,Progressive Corporation,Financial Services,Insurance - Property & Casualty
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets
CEG,Constellation Energy,Utilities,Utilities - Independent Power Producers
BX,Blackstone Inc.,Financial Services,Asset Management
MDT,Medtronic,Healthcare,Medical Devices
WELL,Welltower,Real Estate,REIT - Healthcare Facilities
PLD,Prologis,Real Estate,REIT - Industrial
ADI,Analog Devices,Technology,Semiconductors
ADP,Automatic Data Processing,Technology,Software - Application
LMT,Lockheed Martin,Industrials,Aerospace & Defense
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty
DASH,DoorDash,Consumer Cyclical,Internet Retail
COP,ConocoPhillips,Energy,Oil & Gas E&P
MO,Altria,Consumer Defensive,Tobacco
CMCSA,Comcast,Communication Services,Telecom Services
VRTX,Vertex Pharmaceuticals,Healthcare,Biotechnology
KKR,KKR,Financial Services,Asset Management
DELL,Dell Technologies,Technology,Computer Hardware
SO,Southern Company,Utilities,Utilities - Regulated Electric
HCA,HCA Healthcare,Healthcare,Medical Care Facilities
CVS,CVS Health,Healthcare,Healthcare Plans
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories
MCK,McKesson Corporation,Healthcare,Medical Distribution
DUK,Duke Energy,Utilities,Utilities - Regulated Electric
SBUX,Starbucks,Consumer Cyclical,Restaurants
PH,Parker Hannifin,Industrials,Specialty Industrial Machinery
CME,CME Group,Financial Services,Financial Data & Stock Exchanges
TT,Trane Technologies,Industrials,Building Products & Equipment
GD,General Dynamics,Industrials,Aerospace & Defense
CDNS,Cadence Design Systems,Technology,Software - Application
NEM,Newmont,Basic Materials,Gold
MMC,Marsh McLennan,Financial Services,Insurance Brokers
COIN,Coinbase Global,Financial Services,Financial Data & Stock Exchanges
ICE,Intercontinental Exchange,Financial Services,Financial Data & Stock Exchanges
AMT,American Tower,Real Estate,REIT - Specialty
MMM,3.0M,Industrials,Conglomerates
BMY,Bristol Myers Squibb,Healthcare,Drug Manufacturers - General
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges
WM,Waste Management,Industrials,Waste Management
NOC,Northrop Grumman,Industrials,Aerospace & Defense
SNPS,Synopsys,Technology,Software - Infrastructure
RCL,Royal Caribbean Group,Consumer Cyclical,Travel Services
SHW,Sherwin-Williams,Basic Materials,Specialty Chemicals
ORLY,O'Reilly Auto Parts,Consumer Cyclical,Auto Parts
EQIX,Equinix,Real Estate,REIT - Specialty
